Num Epoch;train loss;test_loss
1;-374.207054927;-250.458599091
2;-233.081219377;-212.281044006
3;-197.993599201;-178.308792114
4;-168.181982106;-155.097362518
5;-149.235966123;-141.007427216
6;-137.819395394;-131.392444611
7;-129.964229452;-125.052268982
8;-124.259308387;-120.068387985
9;-119.964614605;-116.454620361
10;-116.560918611;-113.375274658
11;-113.520495185;-110.733789444
12;-111.176492888;-108.382196426
13;-109.097524446;-106.589902878
14;-107.229932325;-105.132535934
15;-106.116961249;-104.297803879
16;-104.5062148;-102.11690712
17;-103.220446356;-102.448514938
18;-102.210103528;-101.194671631
19;-101.162285114;-99.947063446
20;-100.858234537;-101.964996338
21;-100.243296393;-98.5304222107
22;-98.570401685;-97.5166530609
23;-97.893358691;-97.8950614929
24;-98.0851248379;-96.0691165924
25;-96.4463469407;-96.0012359619
26;-95.9560610015;-95.7047748566
27;-95.7204818726;-95.1297302246
28;-95.0692496464;-93.8938331604
29;-94.0848067711;-93.3750095367
30;-93.5872579114;-92.8148288727
31;-93.2272286251;-92.9683361053
32;-93.0289667064;-92.4238872528
33;-92.6900763676;-91.1917419434
34;-92.0684798668;-91.7651634216
35;-91.8701874305;-90.7965278625
36;-91.2199614952;-90.6842060089
37;-90.7975513853;-90.2669410706
38;-90.4687002774;-89.9098396301
39;-90.4380943035;-90.1774921417
40;-89.7505866741;-89.4050979614
41;-90.0916098233;-89.4303188324
42;-89.2685407441;-88.7274246216
43;-88.778678894;-88.5625782013
44;-88.4312780972;-88.5549526215
45;-88.407276022;-89.097026825
46;-88.0196685791;-87.5343742371
47;-87.5689031667;-87.6168651581
48;-87.8651278266;-87.3695831299
49;-87.5030422868;-87.3073616028
50;-87.0961419467;-86.970785141
