Num Epoch;train loss;test_loss
1;-443.454277302;-276.034599304
2;-257.065764329;-243.247303009
3;-240.912553458;-235.629314423
4;-237.443182057;-234.500915527
5;-236.370298188;-232.368846893
6;-232.100208151;-227.021621704
7;-227.652532117;-223.789207458
8;-225.644146097;-222.408531189
9;-224.33558076;-221.176319122
10;-223.102686389;-219.908981323
11;-221.972800419;-218.804992676
12;-220.924370601;-217.759372711
13;-220.088727228;-217.054851532
14;-219.437172725;-216.539173126
15;-219.003672633;-216.172016144
16;-218.516099601;-215.612792969
17;-218.007859329;-214.803722382
18;-217.237196824;-214.001674652
19;-216.20650982;-212.349739075
20;-211.599159504;-206.013568878
21;-207.264458492;-203.723762512
22;-205.421739249;-202.136283875
23;-204.048920204;-200.898891449
24;-203.050353478;-200.290245056
25;-202.189878793;-199.258720398
26;-201.219690783;-198.335330963
27;-200.298934937;-197.262840271
28;-198.143117444;-193.035774231
29;-192.681758486;-188.56111908
30;-188.672894708;-185.61517334
31;-186.047644253;-183.45785141
32;-183.693913427;-181.302883148
33;-181.707099125;-179.511669159
34;-180.116326168;-178.397045135
35;-178.603366194;-176.828723907
36;-176.900430614;-175.192752838
37;-175.105190935;-173.276576996
38;-173.126751604;-171.520874023
39;-170.563779107;-168.348194122
40;-168.723731205;-167.056762695
41;-167.587677528;-166.199344635
42;-166.702151594;-165.720737457
43;-165.949493408;-164.477703094
44;-165.226267848;-164.100482941
45;-164.849949278;-163.359321594
46;-164.322672351;-163.3852005
47;-163.914264021;-162.927448273
48;-163.516245875;-162.823032379
49;-163.12048182;-162.468158722
50;-162.793589625;-162.091556549
51;-162.404227421;-161.689289093
52;-162.140267734;-161.567752838
53;-161.855569248;-160.835079193
54;-161.424728394;-160.716491699
55;-160.85395129;-159.946022034
56;-160.396349677;-159.436946869
57;-159.73969453;-158.675197601
58;-159.281427318;-158.590026855
59;-158.797178071;-157.780052185
60;-158.388978629;-157.799758911
61;-157.969763394;-157.166984558
62;-157.656357864;-157.078636169
63;-157.478563506;-156.701377869
64;-157.09643923;-156.435436249
65;-156.837750665;-155.99017334
66;-156.43127915;-155.684345245
67;-156.206414584;-155.766139984
68;-155.930224715;-155.305953979
69;-155.579942374;-154.772434235
70;-155.350357582;-154.714595795
71;-155.281464675;-154.46320343
72;-154.711821457;-154.01259613
73;-154.375256769;-153.571792603
74;-153.864527209;-153.277637482
75;-153.549568439;-152.835544586
76;-153.114962874;-152.375576019
77;-152.766468443;-152.118320465
78;-152.425184579;-151.939395905
79;-152.163511605;-151.480552673
80;-151.903745454;-151.602878571
81;-151.697101461;-151.637992859
82;-151.438393428;-150.805561066
83;-151.140126195;-150.773540497
84;-150.896750088;-150.473632812
85;-150.865048639;-150.318721771
86;-150.509438876;-150.017391205
87;-150.189034298;-149.869049072
88;-149.886187323;-149.46736908
89;-149.672012855;-149.175827026
90;-149.355008882;-148.882198334
91;-149.040364233;-148.296062469
92;-148.794490946;-147.90561676
93;-148.557126802;-148.008571625
94;-148.372756432;-148.028270721
95;-148.041347109;-147.441875458
96;-147.912060968;-147.324630737
97;-147.858635738;-147.041469574
98;-147.736008743;-146.852462769
99;-147.407731155;-147.253181458
100;-147.381700187;-147.113330841
