Num Epoch;train loss;test_loss
1;-329.620087196;-242.262947083
2;-220.822639728;-195.307659149
3;-179.099573596;-160.424915314
4;-152.937101693;-142.029548645
5;-138.854254887;-131.389167786
6;-130.039559726;-125.078477859
7;-122.865974426;-118.079471588
8;-118.548798397;-114.224300385
9;-113.936965942;-110.593658447
10;-112.861456509;-109.25293541
11;-108.670459353;-106.349308014
12;-106.149120462;-103.40275383
13;-104.338242893;-103.010028839
14;-102.912384822;-100.771604538
15;-102.48030064;-100.261190414
16;-100.273128904;-98.5167427063
17;-98.8025794194;-97.12408638
18;-98.2841502223;-100.895774841
19;-98.1976712983;-95.4802494049
20;-96.2470011218;-95.153968811
21;-94.8930122112;-94.8676280975
22;-95.0057991291;-93.5346717834
23;-93.8053238967;-92.4089336395
24;-93.0869769392;-92.0732402802
25;-93.1387781604;-91.8335609436
26;-91.5346021981;-92.2026615143
27;-91.2746739881;-90.0094585419
28;-90.1623432554;-90.6580543518
29;-91.0607549733;-89.5363006592
30;-89.0891884113;-88.2732181549
31;-88.7472321083;-88.2442131042
32;-88.8452043204;-87.977935791
33;-87.5754236682;-87.445646286
34;-88.1323936725;-87.9871559143
